z,log_mstar,logstellardens,sigma
0.02125,10.245,9.11405,147.3046
0.06467,10.6109,8.99325,133.34019
0.09708,10.3386,8.6137,72.828
0.13471,11.0915,9.01417,226.981
0.0481,10.5349,8.78895,104.6077
0.09759,10.7723,9.23287,162.80859
0.0649,10.9032,8.78645,130.1812
0.11469,10.5439,8.82773,106.2679
0.05654,10.2833,9.19058,130.739
0.08377,11.2237,8.82761,198.3139
0.1254,10.63,8.70184,97.2768
0.13148,10.8985,8.35423,151.8708
0.12767,10.5616,8.58506,117.4146
0.06757,10.8887,8.90094,173.8163
0.13153,10.6335,8.3974,79.035
0.08934,10.7383,8.75107,121.5644
0.06935,10.3677,8.78562,77.6004
0.15369,11.2466,9.05713,177.8533
0.05289,10.7836,8.85194,145.2984
0.0526,10.4549,8.78764,74.4457
0.03076,10.119,9.13486,105.4659
0.03073,10.5245,8.8369,97.2328
0.03646,9.7535,7.86419,0.0
0.06295,10.7961,9.11732,171.34689
0.09138,10.62,9.26398,211.407
0.12541,10.782,8.63355,120.3895
0.06323,10.3566,9.2198,234.17641
0.06306,10.5722,9.06339,134.0425
0.09778,10.9245,9.19335,257.48181
0.14515,11.1522,8.93455,168.4091
0.09802,10.4129,8.72007,117.3024
0.1295,10.9593,8.83069,174.3905
0.14329,11.0979,8.73522,166.37621
0.09847,10.9259,9.08742,123.8533
0.09835,10.5371,8.66297,153.1351
0.06759,10.7659,9.119,185.3623
0.14258,10.9301,8.51934,99.5044
0.14585,11.0961,8.76098,152.963
0.14389,11.0781,8.85474,167.5726
0.06316,10.3191,9.00416,165.6794
0.16406,10.9846,8.99146,172.144
0.06086,10.7144,8.87018,141.8821
0.12591,10.4233,8.72955,68.4566
0.12125,10.6755,8.64266,103.0445
0.1486,10.818,8.20353,101.9793
0.09088,10.655,8.95184,219.6449
0.09002,10.671,8.88912,146.1664
0.07143,10.1339,8.46478,113.8769
0.11862,10.428,8.68517,115.9442
0.15107,10.844,8.79665,200.211
0.14828,11.0275,8.84603,255.1154
0.05129,10.5461,9.21525,129.5993
0.15153,11.0049,8.88257,181.74651
0.06225,10.2021,8.53673,56.3621
0.08263,10.634,8.9774,154.3716
0.16403,11.1451,8.65649,166.46989
0.06258,10.5922,8.99277,110.5225
0.15585,10.9684,8.89037,154.4059
0.12252,10.8156,8.68354,123.9591
0.09052,10.3688,8.69652,105.9089
0.12412,10.8833,8.81385,179.1122
0.12324,10.9099,8.81914,93.6345
0.11988,11.114,8.64443,102.7738
0.15152,10.9912,8.81379,183.34891
0.02662,9.9744,8.82684,66.8312
0.16424,11.0118,9.05027,224.0594
0.12228,10.6131,8.67972,122.0809
0.12239,10.5894,8.54565,62.8939
0.12329,10.6348,8.74062,139.4328
0.12412,10.776,8.88802,155.7852
0.12242,10.8628,8.43152,128.28819
0.14365,10.9067,8.80491,163.8999
0.0304,10.2837,8.47177,89.235
0.12224,10.7291,8.91511,180.6618
0.14457,11.1423,8.63597,127.0684
0.12567,11.084,8.83591,172.10471
0.12081,11.6179,8.86916,245.7459
0.21837,11.5544,9.04896,297.79001
0.03612,9.3614,7.55868,0.0
0.14422,11.1868,8.92333,171.2011
0.12069,10.7503,8.6395,196.8212
0.05743,10.454,8.95294,102.0715
0.12798,11.1919,8.96999,168.6797
0.02008,9.6264,9.44546,109.2726
0.09155,10.5299,8.51259,142.0108
0.16138,10.9722,8.4907,119.853
0.08647,10.9,9.18295,170.5556
0.03681,10.1133,8.72255,104.1617
0.06297,10.6175,8.78455,89.9776
0.06237,10.0748,8.9386,147.45081
0.06453,10.8211,8.74756,119.6419
0.06335,10.5456,8.72516,145.79691
0.08604,10.3503,8.47384,99.1419
0.09342,11.0112,9.01495,169.44971
0.0897,10.44,8.73396,168.4415
0.08971,10.7002,8.74438,131.72369
0.08974,10.7075,9.05227,192.3508
0.07063,9.994,8.87222,121.5775
0.08809,10.3446,8.66045,98.8878
0.1669,10.9683,8.84196,112.9439
0.13916,11.4608,8.82451,256.95639
0.09193,10.6953,8.7453,128.95171
0.06579,11.2192,8.83279,122.7837
0.08811,10.4879,8.52587,119.2914
0.09347,10.2161,8.49233,67.0117
0.11027,11.1531,8.91907,221.99339
0.15303,11.0379,8.25587,67.1061
0.09088,10.4928,8.68983,100.0048
0.07455,10.5508,9.0448,177.48511
0.0836,11.0899,8.84296,181.1037
0.13727,11.2317,8.86608,195.7404
0.13749,10.6614,8.52801,100.5345
0.08943,10.7029,8.84904,135.1134
0.08821,10.8951,8.85415,161.7141
0.02096,10.2698,9.31734,68.9268
0.08523,10.7594,9.12399,157.5667
0.13776,10.9921,8.65866,144.7231
0.2149,11.2389,8.68256,180.4897
0.12485,10.5669,8.62312,65.4004
0.09201,10.9347,8.94166,204.5168
0.08358,10.7996,8.92131,139.183
0.13307,10.873,8.75969,159.6563
0.10801,10.7952,8.81936,145.60989
0.08339,10.3672,8.80582,124.0296
0.16423,11.2816,8.75171,154.903
0.08368,10.9637,8.49672,104.2511
0.06544,10.3819,8.84539,129.5312
0.10719,10.7689,9.00925,124.5016
0.05177,10.714,8.96553,117.188
0.13276,10.9606,8.88262,145.86189
0.07924,10.5525,8.92234,121.5238
0.08041,10.2049,8.61966,85.5021
0.16106,10.9603,8.74498,121.7973
0.08107,10.5414,8.59811,30.9073
0.08926,10.9797,9.01103,181.61391
0.12754,11.0158,8.42496,92.076
0.06272,10.4574,8.98962,77.7689
0.12566,10.6375,8.36339,88.4638
0.06683,10.4566,8.65613,112.8763
0.08094,10.7726,9.01453,208.97639
0.09522,10.5634,8.38342,75.0994
0.0928,10.8837,9.25273,263.0524
0.1259,10.6784,8.92692,124.0261
