appmagV, appmagV_err, distmod, dist, rh, rh_err, vsig, vsig_err
-0.1, 0.8, 14.29, 0.30, , 20, 3.
3.6, 0.3,17.10, 0.15, 2587, 219, 11.4, 0.7
15.3, 0.8, 16.80, 0.20, 29, 5, 3.9, 0.8
13.3, 0.5, 17.50, 0.30, 149, 21, 6.7, 1.4
15.4, 0.9, 18.10, 0.06, 51, 17, 10.5, 7.4
15.2, 0.3, 17.70, 0.10, 35, 3, 3.4, 1.2
15.2, 0.7, 17.90, 0.40, 25, 6, 4.3, 1.3
14.1, 0.5, 18.20, 0.20, 77, 10, 4.6, 0.8
12.6, 0.5, 18.35, 0.10, , 14, 3.2
0.4, 0.1, 18.52, 0.09, , 20.2, 0.5
2.20, 0.2, 19.03, 0.12, , 27.6, 0.5
12.8, 0.2, 19.11, 0.08, 242, 21, 2.4, 0.5
10.6, 0.2, 19.40, 0.17, 221, 19, 9.1, 1.2
10.6, 0.5, 19.40, 0.10, 181, 27, 9.5, 1.2
8.60, 0.5, 19.67, 0.14, 283, 45, 9.2, 1.4
10.4, 0.5, 19.67, 0.10, 695, 44, 7.9, 1.3
14.4, 0.5, 19.93, 0.10, 319, 50, 7.6, 1.0
11, 0.3, 20.11, 0.13, 250, 39, 6.6, 1.2
14, 0.5, 20.06, 0.20, 330, 52, 3.7, 0.9
7.4, 0.3, 20.84, 0.18, 710, 77, 11.7, 0.9
15.1, 0.4, 20.94, 0.09, 206, 37, 3.3, 1.7
16.1, 0.5, 21.02, 0.06, 74, 14, 4.6, 1
16.0, 0.4, 21.25, 0.12, 135, 32, 3.7, 1.4
16.3, 0.5, 21.30, , 58, 99, , 
13.1, 0.2, 21.69, 0.10, 564, 36, 7.6, 0.4
12, 0.3, 21.84, 0.13, 176, 42, 6.6, 0.7
10, 0.3, 22.02, 0.13, 251, 27, 9.2, 1.4
, , 24.47, 0.07, , , , 
8.10, 0.1, 24.53, 0.21, 110, 16, 92, 5
16.3, 0.1, 24.42, 0.07, 557, 29, 4.5, 3.6
8.10, 0.1, 24.58, 0.07, 590, 31, 35, 5
15.8, 0.4, 24.50, 0.10, 286, 23, , 
12.7, 0.1, 24.36, 0.07, 672, 69, 10.6, 1.1
16.7, 0.5, 24.59, 0.12, 434, 76, , 
14.4, 0.3, 24.37, 0.07, 479, 46, 4.7, 1.8
14.8, 0.5, 24.55, 0.12, 709, 61, , 
17.3, 0.5, 24.41, 0.12, 222, 25, , 
17.5, 1.2, 24.40, 0.20, 157, 16, 4.6, 
15.3, 0.2, 24.44, 0.08, 315, 46, 11.5, 4.4
16.6, 1.0, 24.23, 0.21, 265, 33, 3.9, 1.2
14.2, 0.5, 24.43, 0.13, 1029, 76, , 
18.2, 0.8, 24.52, 0.24, 124, 17, , 
18.3, 1.2, 24.70, 0.30, 304, 66, 2.6, 2.6
9.5, 0.1, 24.15, 0.09, 623, , 16, 1
14.8, 0.6, 24.67, 0.13, 875, 91, , 
15.9, 0.5, 24.33, 0.33, 363, 180, 5.4, 1.3
14.6, 0.3, 24.00, 0.20, 222, 22, 11, 5
18.1, 1.2, 24.80, 0.1, 207, 23, 9.7, 4.5
11.7, 0.2, 24.07, 0.06, 1176, 50, 7.3, 0.8
9.2, 0.1, 23.95, 0.09, 458, 24, 1
16, 0.3, 24.32, 0.22, 361, 56, , 
15.6, 0.6, 24.85, 0.13, 1683, 105, , 
5.7, 0.1, 24.54, 0.06, , , , 
16.3, 0.5, 23.89, 0.12, 367, 27, , 
11.8, 0.3, 24.41, 0.10, 776, 42, 9.7, 1.6
18, 0.8, 24.50, , 217, 99, , 
9.5, 0.2, 24.50, 0.12, 612, , , 
14.3, 0.1, 24.43, 0.07, 470, 47, 7.9, 2.9
13.2, 0.2, 24.47, 0.07, 524, 49, 9.4, 2.4
14.4, 0.3, 23.60, 0.20, 136, 15, 10, 
15.6, 0.4, 24.10, 0.2, 213, 45, , 
9.2, 0.1, 24.39, 0.12, 1496, , , 
13.2, 0.4, 23.09, 0.10, 454, , , 
8.10, 0.2, 23.31, 0.08, 354, , , 
13.2, 0.2, 24.39, 0.07, 703, 31, 17, 2
12.6, 0.2, 24.82, 0.07, 562, , , 
15.1, 0.5, 23.10, 0.10, 120, 9, 7.5, 1.6
10.6, 0.1, 24.85, 0.08, 2111, , 17.5, 2.0
12.4, 0.2, 24.51, 0.12, 499, , 9.3, 1.3
14.5, 0.1, 25.15, 0.08, 458, 21, , 
15.2, 0.2, 24.74, 0.12, 284, 54, , 
13.6, 0.2, 25.14, 0.18, 282, 28, 15.8, 3.1
13.2, 0.2, 25.67, 0.04, 162, 16, , 
10.7, 0.1, 25.57, 0.08, 1626, 71, , 
