ID, RA, dec, V0, V0_err, VI, VI_err, magV, magV_err, hR, hR_err, mueff, mueff_err, Re, Re_err, n, n_err
C-4-13, 12:49:56.4, -41:15:35.8, 16.17, 0.01, 1.10, 0.01, 21.24, 0.01, 4.62, 0.01, 23.08, 0.01, 7.77, 0.01, 1.08, 0.01
C-1-14, 12:48:39.8, -41:16:05.7, 16.23, 0.01, 1.09, 0.01, 21.26, 0.01, 4.24, 0.01, 23.12, 0.01, 7.19, 0.01, 1.15, 0.01
C-5-15, 12:48:36.1, -41:26:23.2, 16.89, 0.01, 0.89, 0.02, 21.42, 0.01, 3.72, 0.01, 23.31, 0.01, 6.28, 0.01, 1.32, 0.01
C-1-16, 12:48:30.1, -41:19:17.8, 17.34, 0.01, 0.96, 0.01, 21.36, 0.01, 2.80, 0.01, 23.29, 0.01, 4.85, 0.01, 1.15, 0.01
C-2-17, 12:49:02.0, -41:15:33.7, 17.35, 0.01, 0.96, 0.01, 21.24, 0.01, 2.67, 0.01, 22.97, 0.01, 4.33, 0.01, 0.89, 0.01
C-3-18, 12:49:56.2, -41:24:04.0, 17.40, 0.01, 1.00, 0.01, 21.97, 0.01, 4.18, 0.01, 23.33, 0.01, 5.75, 0.01, 1.43, 0.01
C-3-19, 12:49:54.1, -41:20:21.9, 17.50, 0.01, 1.05, 0.01, 21.53, 0.01, 3.39, 0.01, 23.40, 0.01, 5.73, 0.01, 1.11, 0.01
C-2-20, 12:49:33.0, -41:19:24.0, 17.59, 0.01, 1.15, 0.01, , , , , 21.53, 0.01, 1.65, 0.01, 1.55, 0.01
C-1-21, 12:48:48.6, -41:20:52.8, 17.71, 0.01, 1.18, 0.01, , , , , 20.95, 0.01, 1.27, 0.01, 1.27, 0.01
C-2-22, 12:49:22.7, -41:15:18.7, 18.19, 0.02, 0.95, 0.04, 22.38, 0.01, 3.63, 0.01, 23.98, 0.01, 5.48, 0.01, 1.39, 0.01
C-3-23, 12:49:46.6, -41:22:08.7, 18.42, 0.01, 0.97, 0.01, 22.51, 0.01, 3.00, 0.01, 24.33, 0.01, 5.02, 0.01, 1.04, 0.01
C-2-24, 12:49:05.4, -41:18:25.6, 18.42, 0.01, 0.87, 0.02, 22.15, 0.01, 2.40, 0.01, 23.88, 0.01, 3.88, 0.01, 0.87, 0.01
C-2-25, 12:49:32.3, -41:20:23.8, 18.53, 0.01, 0.99, 0.02, 22.38, 0.01, 2.58, 0.02, 24.16, 0.01, 4.21, 0.03, 0.99, 0.01
C-4-26, 12:49:48.7, -41:14:18.3, 18.87, 0.01, 0.88, 0.02, 22.72, 0.01, 2.78, 0.01, 24.60, 0.01, 4.76, 0.02, 1.09, 0.01
