#      gal     mk logmstar   lam sigc sigavg   gami   gamo   gamr  h4avg h4grad env cluster   logmhalo delta    nu
# Formatted to read with:
#    numpy.genfromtxt('table1.txt',names=True,dtype=None)
# gal    : galaxy name
# mk     : absolute K-band magnitude
# mstar  : log10 stellar mass [solar mass]
# lam    : spin parameter lambda_e
# sigc   : central fiber dispersion [km/s]
# sigavg : average dispersion in Re [km/s]
# gami   : gamma_inner, log slope at 2kpc
# gamo   : gamma_outer, log slope at 20kpc
# gamr   : gamma_rmax, log slope at max R
# h4avg  : average kurtosis h_4 within Re
# h4grad : gradient d(h_4)/d(log R)
# env    : (I)solated/(S)atellite/(B)GG
# cluster: cluster membership (if any)
# mh     : log10 halo mass [solar mass]
# delta  : density contrast delta_g
# nu     : log10 nu_10 [mean nu_10]
    gal     mk logmstar   lam sigc sigavg   gami   gamo   gamr  h4avg h4grad env cluster   logmhalo delta    nu
   NGC0057 -25.75 11.79 0.022  289    251 -0.150 -0.001  0.015  0.053  0.017   I    none  nan  0.36  0.68
   NGC0080 -25.66 11.75 0.039  248    222 -0.073  0.145  0.172  0.039  0.010   B    none 14.1  0.47  3.81
   NGC0315 -26.30 12.03 0.062  348    341 -0.004 -0.057 -0.057  0.052  0.011   B    none 13.5  0.78  2.43
   NGC0383 -25.81 11.82 0.252  290    257 -0.143  0.307  0.344  0.012 -0.019   S    none 14.4  0.86  3.63
   NGC0410 -25.90 11.86 0.034  291    247 -0.121 -0.276 -0.289  0.041 -0.028   B    none 14.4  0.87  3.49
   NGC0499 -25.50 11.68 0.060  274    266 -0.043 -0.489 -0.530  0.028 -0.008   S    none 14.4  0.86  4.55
   NGC0507 -25.93 11.87 0.049  274    257 -0.069    nan  0.098  0.050  0.035   B    none 14.4  0.86  4.76
   NGC0533 -26.05 11.92 0.034  280    258 -0.056  0.068  0.080  0.063  0.083   B    none 13.5  0.63  1.12
   NGC0545 -25.83 11.83 0.129  249    231  0.011    nan  0.266  0.074  0.036   B    A194 14.5  0.77  4.13
   NGC0547 -25.83 11.83 0.056  259    232 -0.079    nan -0.006  0.035  0.030   S    A194 14.5  0.77  4.15
   NGC0665 -25.51 11.68 0.402  206    164 -0.163 -0.070 -0.064 -0.074 -0.227   B    none 13.7  0.48  1.75
  UGC01332 -25.57 11.71 0.037  248    253 -0.005    nan  0.274  0.034 -0.020   B    none 13.8  0.57  2.23
   NGC0708 -25.65 11.75 0.036  206    219 -0.010  0.273  0.291  0.090  0.110   B    A262 14.5  0.76  4.08
   NGC0741 -26.06 11.93 0.040  292    289  0.012    nan  0.068  0.043  0.069   B    none 13.8  0.46  2.11
   NGC0777 -25.94 11.87 0.046  324    291 -0.134    nan -0.090  0.051  0.004   B    none 13.5  0.70  1.88
   NGC0890 -25.50 11.68 0.101  207    194 -0.034    nan -0.062 -0.006 -0.002   I    none  nan  0.67  0.15
   NGC0910 -25.33 11.61 0.039  236    219 -0.178  0.357  0.411  0.018  0.034   S    A347 14.8  0.79  4.06
   NGC0997 -25.40 11.64 0.243  267    215 -0.195    nan -0.090  0.021 -0.015   B    none 13.0  0.47  1.41
   NGC1016 -26.33 12.05 0.033  286    279 -0.028 -0.005 -0.001  0.027 -0.001   B    none 13.9  0.68  1.74
   NGC1060 -26.00 11.90 0.023  310    271 -0.100    nan -0.068  0.055  0.028   B    none 14.0  0.59  3.31
   NGC1132 -25.70 11.77 0.061  239    218 -0.100  0.145  0.183  0.022  0.015   B    none 13.6  0.53  0.91
   NGC1129 -26.14 11.96 0.120  241    259  0.036  0.131  0.140  0.047  0.043   B    none 14.8  1.03  4.20
   NGC1167 -25.64 11.74 0.427  188    172 -0.085 -0.427 -0.452 -0.068 -0.166   B    none 13.1  0.70  1.18
   NGC1226 -25.51 11.68 0.033  274    229 -0.146 -0.173 -0.176  0.084  0.138   B    none 13.2  0.54  0.48
    IC0310 -25.35 11.61 0.085  218    205 -0.097    nan    nan  0.059 -0.074   S Perseus 14.8  1.12  4.18
   NGC1272 -25.80 11.81 0.023  285    250 -0.075  0.118  0.137  0.049  0.046   S Perseus 14.8  1.13  5.59
  UGC02783 -25.44 11.65 0.068  292    266 -0.163    nan -0.143  0.018  0.015   B    none 12.6  0.80  1.22
   NGC1453 -25.67 11.75 0.201  312    272 -0.091  0.013  0.014  0.044  0.005   B    none 13.9  0.36  1.94
   NGC1497 -25.31 11.60 0.474  234    190 -0.214  0.132  0.140 -0.029 -0.071   I    none  nan  0.43  1.94
   NGC1600 -25.99 11.90 0.026  346    293 -0.082 -0.047 -0.045  0.055  0.037   B    none 14.2  0.78  3.07
   NGC1573 -25.55 11.70 0.040  288    264 -0.073 -0.254 -0.262  0.018  0.015   B    none 14.1  0.61  2.76
   NGC1684 -25.34 11.61 0.122  295    262 -0.054    nan -0.054  0.018  0.011   B    none 13.7  0.79  3.19
   NGC1700 -25.60 11.72 0.195  236    223 -0.086 -0.345 -0.371 -0.026 -0.074   B    none 12.7  0.54  1.36
   NGC2208 -25.63 11.74 0.062  268    255 -0.024    nan  0.049 -0.004 -0.007   I    none  nan  0.45  0.85
   NGC2256 -25.87 11.84 0.024  240    259  0.121    nan -0.103  0.063  0.004   B    none 13.7  0.43  1.31
   NGC2274 -25.69 11.76 0.067  288    259 -0.083  0.133  0.152  0.021 -0.024   B    none 13.3  0.49  2.04
   NGC2258 -25.66 11.75 0.036  293    254 -0.080    nan  0.035  0.040  0.042   B    none 12.2  0.58  0.98
   NGC2320 -25.93 11.87 0.235  340    298 -0.167    nan  0.000  0.037  0.028   B    none 14.2  0.90  2.81
  UGC03683 -25.52 11.69 0.090  257    257 -0.051    nan -0.093  0.024 -0.090   B    none 13.6  0.76  1.42
   NGC2332 -25.39 11.63 0.037  254    224 -0.121 -0.123 -0.123  0.029 -0.033   S    none 14.2  0.89  3.17
   NGC2340 -25.90 11.86 0.029  232    235 -0.028  0.033  0.044  0.018  0.004   S    none 14.2  0.89  3.09
  UGC03894 -25.58 11.72 0.122  297    255 -0.142 -0.107 -0.103  0.036  0.025   B    none 13.7  0.19  0.18
   NGC2418 -25.42 11.64 0.241  245    217 -0.176    nan -0.236  0.041 -0.029   I    none  nan  0.35  0.15
   NGC2513 -25.52 11.69 0.095  280    253 -0.071 -0.127 -0.132 -0.004 -0.025   B    none 13.6  0.37  0.71
   NGC2672 -25.60 11.72 0.095  273    262 -0.055    nan -0.033  0.028 -0.009   B    none 13.0  0.12  0.09
   NGC2693 -25.76 11.79 0.295  327    296 -0.061  0.087  0.094  0.035 -0.011   I    none  nan  0.23  0.83
   NGC2783 -25.72 11.78 0.042  252    264  0.034  0.012  0.009  0.047 -0.007   B    none 12.8  0.51  0.66
   NGC2832 -26.42 12.08 0.071  327    291 -0.093  0.096  0.120  0.054  0.005   B    A779 13.7  0.60  0.89
