Name;Dist;e_Dist;logBHMass;E_logBHMass;e_logBHMass;logsigma;e_logsigma;logLk;e_logLk;logRe;e_logRe;cov;C28;e_C28;logAGN;e_logAGN;Meth
 ;Mpc;Mpc;[Msun];[Msun];[Msun];[km/s];[km/s];[Lsun];[Lsun];[kpc];[kpc]; ; ; ;[Lsun];[Lsun];
3C120         ; 141.4;14.1; 7.73; 0.15; 0.15; 2.21; 0.05;11.20; 0.09; 1.00; 0.06; 0.05; 3.8; 0.2;11.39; 0.00;reverb
3C390.3       ; 240.3;24.0; 8.62; 0.16; 0.16; 2.44; 0.03;11.25; 0.10; 0.64; 0.09; 0.14; 3.9; 0.8;11.26; 0.04;reverb
A1836BCG      ; 152.4; 8.4; 9.57; 0.06; 0.06; 2.46; 0.02;11.75; 0.06; 0.89; 0.06; 0.04; 4.9; 0.5;     ;     ;gas
A3565BCG      ;  49.2; 3.6; 9.11; 0.07; 0.07; 2.51; 0.02;11.83; 0.07; 0.98; 0.06; 0.04; 5.3; 0.2;     ;     ;gas
Ark120        ; 140.1;14.0; 8.05; 0.17; 0.17; 2.28; 0.02;11.20; 0.09; 0.74; 0.07; 0.05; 3.9; 0.4;11.53; 0.00;reverb
Arp151        ;  90.3; 9.0; 6.65; 0.16; 0.16; 2.07; 0.01;10.62; 0.09; 0.45; 0.13; 0.10;10.9; 3.3;     ;     ;reverb
Circinus      ;   2.8; 0.5; 6.06; 0.10; 0.10; 2.20; 0.05;10.22; 0.12; 0.18; 0.13; 0.09; 6.7; 0.6;     ;     ;maser
CygnusA       ; 257.1;25.7; 9.41; 0.13; 0.13; 2.43; 0.02;12.24; 0.10; 1.46; 0.08; 0.05; 4.4; 0.4;     ;     ;gas
ESO558-009    ; 102.5;10.2; 7.22; 0.03; 0.03; 2.23; 0.05;11.13; 0.10; 0.68; 0.13; 0.09; 5.6; 0.7;10.10; 0.09;maser
Fairall9      ; 201.4;20.1; 8.27; 0.21; 0.21; 2.35; 0.08;11.57; 0.09; 0.88; 0.07; 0.07; 4.1; 0.7;11.42; 0.02;reverb
Henize2-10    ;   9.0; 0.9; 0.00; 7.00; 0.00; 1.54; 0.19; 9.68; 0.10;-0.33; 0.10; 0.06; 5.1; 0.7;     ;     ;star
