##########################################################################################################################################
#
# This is the online data table for the paper Jin et. al (2019)
# "SDSS-IV MaNGA: Internal mass distributions and orbital structures of early-type galaxies and their dependence on environment"
#
#############################################################################################################################################
#
# The major properties of all the galaxies in our sample and the corresponding modelling results.
# From top to bottom, the first 105 galaxies are centrals while others are satellites.
# From left to right, they are:
# (1) MaNGA ID;
# (2) the total stellar mass "log(M*/Msun)";
# (3) the effective radius "Re";
# (4) the dark matter fraction within one effective radius "f_DM";
# (5) the medium to long axis ratio "p_e", "q_e" and the triaxial parameter "T_e" at one effective radius;
# (6) the fractions of orbits "f_cold", "f_warm", "f_hot" and "f_CR";
# (7) the fractions of orbits "f_prolong}", "f_CRlong", "f_box" and "f_SR".
#
##############################################################################################################################################
#         |            |         |       |       |        |        |        |        |         |      |           |          |       |      |
# MaNGAID |log(M*/Msun)| Re(kpc) | f_DM  |  p_e  |   q_e  |   T_e  | f_cold | f_warm |  f_hot  | f_CR | f_prolong | f_CRlong | f_box | f_SR |
#         |            |         |       |       |        |        |        |        |         |      |           |          |       |      |
##############################################################################################################################################
1-259250      10.89      1.82     0.063    0.937    0.622    0.198    0.086    0.527    0.352    0.035    0.032      0.051    0.179    0.090
1-285095      11.50      15.94    0.754    0.980    0.697    0.077    0.045    0.182    0.535    0.242    0.001      0.023    0.309    0.201
1-285066      10.91      5.34     0.120    0.849    0.739    0.616    0.015    0.180    0.730    0.071    0.242      0.081    0.244    0.163
1-46825       11.18      7.38     0.498    0.858    0.779    0.670    0.033    0.123    0.770    0.077    0.155      0.105    0.276    0.235
1-564264      11.48      10.08    0.327    0.975    0.916    0.309    0.008    0.238    0.560    0.193    0.133      0.089    0.240    0.098
1-605419      11.69      8.58     0.001    0.997    0.946    0.057    0.072    0.456    0.384    0.089    0.050      0.047    0.075    0.211
1-585593      10.86      2.10     0.087    0.939    0.517    0.162    0.166    0.472    0.271    0.092    0.018      0.029    0.132    0.090
1-156062      11.31      12.00    0.095    0.822    0.789    0.859    0.018    0.106    0.840    0.033    0.199      0.231    0.210    0.201
1-235530      10.56      1.66     0.034    0.934    0.893    0.624    0.042    0.267    0.619    0.072    0.156      0.239    0.158    0.064
1-320584      11.68      8.92     0.440    0.913    0.754    0.387    0.071    0.305    0.550    0.074    0.109      0.079    0.292    0.071
1-114998      11.36      7.13     0.182    0.653    0.562    0.838    0.013    0.117    0.805    0.063    0.147      0.146    0.317    0.196
1-258118      11.52      8.42     0.643    0.719    0.648    0.833    0.006    0.061    0.889    0.043    0.189      0.131    0.394    0.175
1-258685      11.54      8.21     0.352    0.991    0.929    0.135    0.017    0.276    0.532    0.174    0.188      0.012    0.207    0.126
1-258477      11.54      6.68     0.332    0.898    0.765    0.467    0.013    0.227    0.573    0.187    0.134      0.083    0.292    0.063
1-38217       11.29      6.47     0.014    0.820    0.734    0.709    0.027    0.415    0.512    0.048    0.165      0.155    0.140    0.054
1-44418       11.12      3.03     0.293    0.898    0.845    0.680    0.033    0.113    0.824    0.028    0.209      0.137    0.308    0.169
1-44479       11.17      5.92     0.386    0.694    0.623    0.846    0.005    0.295    0.685    0.015    0.131      0.109    0.269    0.177
1-256048      11.56      9.10     0.456    0.837    0.797    0.822    0.000    0.095    0.876    0.029    0.189      0.195    0.311    0.181
1-587938      11.28      7.10     0.474    0.881    0.747    0.507    0.020    0.139    0.734    0.108    0.143      0.063    0.388    0.140
1-155456      11.34      6.33     0.049    0.992    0.979    0.370    0.056    0.163    0.731    0.052    0.131      0.098    0.214    0.287
1-137845      11.20      4.51     0.244    0.781    0.689    0.742    0.026    0.204    0.748    0.024    0.161      0.095    0.346    0.146
1-558910      11.42      7.12     0.548    0.716    0.572    0.725    0.057    0.269    0.635    0.039    0.121      0.131    0.257    0.125
1-256009      11.34      5.90     0.047    0.875    0.660    0.417    0.091    0.377    0.483    0.050    0.100      0.049    0.264    0.069
1-256506      11.33      5.93     0.576    0.934    0.860    0.487    0.046    0.367    0.505    0.084    0.133      0.119    0.136    0.117
1-567187      11.13      5.41     0.143    0.765    0.592    0.639    0.077    0.394    0.509    0.022    0.132      0.105    0.207    0.065
1-257854      11.54      7.10     0.188    0.862    0.790    0.682    0.051    0.141    0.752    0.055    0.229      0.125    0.285    0.113
1-277516      11.60      8.23     0.744    0.967    0.899    0.336    0.009    0.196    0.644    0.152    0.112      0.114    0.238    0.181
1-256185      11.14      3.92     0.351    0.886    0.775    0.540    0.019    0.234    0.630    0.118    0.160      0.080    0.276    0.110
1-216520      10.36      2.08     0.152    0.720    0.529    0.669    0.049    0.294    0.589    0.067    0.160      0.034    0.311    0.085
1-167380      11.00      3.54     0.101    0.999    0.336    0.002    0.220    0.479    0.215    0.085    0.001      0.000    0.073    0.139
1-338060      11.44      6.75     0.420    0.881    0.766    0.541    0.055    0.274    0.604    0.067    0.134      0.087    0.276    0.107
1-339061      10.47      3.06     0.449    0.676    0.424    0.663    0.153    0.106    0.606    0.136    0.091      0.064    0.326    0.123
1-338633      10.77      2.35     0.077    0.842    0.655    0.511    0.038    0.233    0.609    0.120    0.120      0.093    0.308    0.091
1-377990      11.55      6.44     0.519    0.711    0.603    0.777    0.056    0.183    0.718    0.042    0.069      0.113    0.354    0.179
1-43718       11.38      4.90     0.659    0.875    0.781    0.602    0.023    0.335    0.593    0.048    0.138      0.116    0.136    0.203
1-338721      11.31      4.76     0.210    0.763    0.620    0.678    0.011    0.151    0.783    0.054    0.217      0.094    0.390    0.083
1-217050      11.01      3.43     0.158    0.904    0.655    0.321    0.110    0.330    0.464    0.097    0.077      0.095    0.201    0.092
1-137801      11.28      5.14     0.601    0.899    0.699    0.375    0.081    0.376    0.480    0.062    0.105      0.049    0.271    0.056
1-137799      10.87      3.55     0.064    0.913    0.815    0.499    0.082    0.450    0.396    0.072    0.150      0.100    0.089    0.058
1-217022      10.94      2.79     0.233    0.866    0.806    0.716    0.008    0.132    0.798    0.063    0.171      0.159    0.344    0.124
1-43773       10.89      3.46     0.520    0.958    0.867    0.329    0.042    0.334    0.555    0.066    0.120      0.113    0.232    0.092
1-44163       10.96      3.51     0.006    0.967    0.947    0.634    0.000    0.193    0.747    0.059    0.146      0.138    0.216    0.248
1-274658      10.80      2.19     0.067    0.943    0.667    0.200    0.089    0.440    0.371    0.100    0.047      0.048    0.172    0.104
1-285729      11.31      5.89     0.027    0.953    0.905    0.508    0.021    0.318    0.539    0.123    0.170      0.095    0.162    0.112
1-91582       11.58      9.35     0.264    0.827    0.779    0.803    0.045    0.102    0.848    0.006    0.239      0.111    0.366    0.132
1-260809      11.56      11.82    0.335    0.554    0.454    0.873    0.027    0.118    0.834    0.020    0.141      0.171    0.338    0.186
1-92866       11.52      12.66    0.331    0.825    0.732    0.690    0.031    0.181    0.674    0.114    0.207      0.121    0.231    0.113
1-560826      11.47      7.63     0.639    0.872    0.815    0.714    0.080    0.160    0.721    0.039    0.131      0.186    0.218    0.187
1-542312      11.27      5.32     0.542    0.924    0.760    0.344    0.071    0.276    0.562    0.090    0.126      0.077    0.244    0.116
1-209109      11.02      5.19     0.281    0.901    0.872    0.782    0.008    0.053    0.882    0.059    0.204      0.219    0.271    0.185
1-209712      11.45      6.65     0.149    0.785    0.648    0.662    0.001    0.137    0.741    0.119    0.137      0.131    0.413    0.062
1-210323      11.68      8.89     0.390    0.979    0.901    0.216    0.019    0.228    0.605    0.148    0.125      0.132    0.224    0.123
1-95982       11.10      3.53     0.068    0.999    0.365    0.002    0.236    0.407    0.233    0.125    0.000      0.000    0.093    0.138
1-259650      11.56      9.95     0.385    0.803    0.706    0.710    0.024    0.434    0.515    0.029    0.142      0.117    0.148    0.107
1-608874      11.03      5.20     0.460    0.890    0.773    0.517    0.028    0.226    0.708    0.038    0.138      0.108    0.285    0.175
1-92832       11.36      6.01     0.541    0.767    0.526    0.570    0.034    0.208    0.684    0.075    0.117      0.060    0.396    0.112
1-135372      11.20      3.70     0.020    0.860    0.682    0.486    0.098    0.410    0.483    0.008    0.132      0.077    0.211    0.062
1-546834      11.20      3.74     0.249    0.946    0.837    0.353    0.061    0.407    0.489    0.045    0.139      0.104    0.152    0.094
1-23894       10.62      2.73     0.245    0.733    0.655    0.811    0.051    0.344    0.600    0.005    0.177      0.169    0.157    0.099
1-134964      11.02      3.84     0.105    0.968    0.825    0.198    0.102    0.559    0.333    0.007    0.093      0.038    0.124    0.078
1-251739      11.80      12.83    0.702    0.781    0.681    0.729    0.015    0.063    0.833    0.091    0.208      0.139    0.361    0.125
1-260541      11.79      9.76     0.409    0.984    0.957    0.377    0.063    0.373    0.408    0.156    0.115      0.079    0.086    0.126
1-172962      11.48      8.08     0.584    0.918    0.776    0.397    0.026    0.196    0.613    0.164    0.126      0.062    0.291    0.134
1-542414      11.55      9.26     0.084    0.811    0.714    0.698    0.069    0.126    0.758    0.047    0.103      0.116    0.417    0.122
1-248869      11.07      3.11     0.591    0.805    0.624    0.575    0.078    0.023    0.785    0.114    0.083      0.118    0.460    0.123
1-94971       11.52      7.76     0.269    0.750    0.578    0.656    0.068    0.029    0.777    0.125    0.126      0.096    0.417    0.136
1-248328      11.41      5.57     0.333    0.917    0.862    0.618    0.034    0.177    0.731    0.056    0.157      0.142    0.261    0.169
1-320337      11.46      6.55     0.336    0.931    0.854    0.491    0.147    0.201    0.644    0.007    0.161      0.113    0.240    0.132
1-198600      11.49      7.62     0.687    0.792    0.676    0.686    0.060    0.232    0.653    0.053    0.195      0.130    0.184    0.144
1-93908       11.33      5.42     0.139    0.851    0.741    0.613    0.033    0.137    0.740    0.093    0.091      0.087    0.431    0.133
1-634538      11.20      3.10     0.006    0.894    0.813    0.592    0.049    0.400    0.514    0.039    0.150      0.160    0.155    0.051
1-251279      11.02      3.49     0.382    0.952    0.720    0.194    0.216    0.411    0.284    0.089    0.047      0.040    0.119    0.079
1-575826      11.33      7.06     0.485    0.738    0.664    0.815    0.025    0.193    0.728    0.055    0.268      0.078    0.206    0.175
1-236745      11.65      10.71    0.481    0.660    0.587    0.861    0.030    0.064    0.871    0.036    0.134      0.210    0.346    0.182
1-95120       11.33      4.39     0.360    0.726    0.560    0.689    0.025    0.056    0.815    0.104    0.116      0.090    0.433    0.176
1-320681      10.70      1.77     0.056    0.926    0.793    0.382    0.028    0.620    0.330    0.021    0.073      0.103    0.082    0.073
1-282151      10.39      1.11     0.080    0.947    0.558    0.151    0.045    0.527    0.269    0.159    0.077      0.046    0.094    0.052
1-278081      10.91      2.52     0.170    0.931    0.769    0.327    0.104    0.484    0.356    0.055    0.116      0.085    0.061    0.093
1-217324      10.54      1.37     0.008    0.954    0.823    0.278    0.063    0.405    0.386    0.146    0.069      0.052    0.199    0.066
1-339094      10.51      2.29     0.004    0.982    0.902    0.189    0.156    0.319    0.358    0.170    0.114      0.042    0.070    0.132
1-44526       10.76      2.01     0.068    0.999    0.417    0.002    0.167    0.508    0.202    0.124    0.001      0.000    0.046    0.155
1-634828      10.75      1.96     0.001    0.748    0.622    0.717    0.099    0.349    0.550    0.001    0.131      0.102    0.231    0.086
1-95825       10.72      1.84     0.060    0.974    0.454    0.065    0.265    0.344    0.275    0.117    0.010      0.003    0.146    0.116
1-523238      10.57      2.17     0.050    0.952    0.897    0.480    0.019    0.436    0.492    0.052    0.218      0.054    0.098    0.121
1-247449      10.78      2.26     0.003    0.968    0.837    0.209    0.068    0.516    0.359    0.058    0.075      0.073    0.089    0.123
1-251783      10.15      1.36     0.017    0.951    0.853    0.350    0.199    0.090    0.536    0.174    0.119      0.098    0.230    0.090
1-274663      11.07      3.88     0.209    0.817    0.625    0.545    0.076    0.207    0.684    0.033    0.099      0.086    0.350    0.148
1-251775      11.73      12.96    0.369    0.792    0.631    0.619    0.035    0.120    0.728    0.118    0.090      0.113    0.407    0.117
1-172936      11.58      8.79     0.717    0.887    0.817    0.644    0.022    0.076    0.824    0.077    0.135      0.177    0.305    0.207
1-209266      11.68      11.04    0.506    0.718    0.629    0.801    0.003    0.031    0.896    0.068    0.205      0.178    0.329    0.183
1-134209      11.38      8.37     0.331    0.959    0.900    0.419    0.041    0.189    0.597    0.173    0.137      0.132    0.226    0.104
1-134924      11.38      4.56     0.130    0.876    0.794    0.627    0.082    0.095    0.753    0.070    0.161      0.147    0.285    0.162
1-634274      11.65      9.65     0.520    0.871    0.798    0.666    0.016    0.125    0.774    0.087    0.153      0.224    0.259    0.139
1-216976      10.68      3.43     0.097    0.996    0.992    0.451    0.121    0.148    0.549    0.182    0.088      0.110    0.149    0.201
1-147521      10.56      2.12     0.108    0.869    0.340    0.277    0.252    0.225    0.453    0.070    0.022      0.003    0.289    0.137
1-260010      10.42      2.36     0.067    0.934    0.801    0.355    0.140    0.463    0.387    0.008    0.108      0.100    0.100    0.077
1-546873      10.59      2.60     0.031    0.928    0.792    0.372    0.066    0.534    0.355    0.045    0.123      0.066    0.124    0.042
1-323055      10.75      2.16     0.006    1.000    0.763    0.002    0.171    0.368    0.242    0.220    0.002      0.001    0.141    0.096
1-248289      11.01      3.10     0.007    0.999    0.391    0.002    0.198    0.407    0.242    0.152    0.000      0.000    0.073    0.169
1-114334      10.34      1.20     0.026    0.999    0.390    0.002    0.103    0.472    0.254    0.173    0.000      0.000    0.056    0.196
1-274646      10.50      2.17     0.138    0.896    0.785    0.514    0.061    0.099    0.656    0.184    0.085      0.054    0.459    0.059
1-259185      11.70      13.30    0.592    0.730    0.683    0.876    0.039    0.044    0.829    0.089    0.177      0.225    0.306    0.121
1-548033      11.56      8.68     0.023    1.000    0.973    0.008    0.105    0.317    0.464    0.115    0.000      0.013    0.132    0.318
1-24476       10.80      4.64     0.256    0.783    0.640    0.655    0.032    0.175    0.662    0.132    0.154      0.069    0.286    0.152
1-94168       11.12      5.30     0.026    0.979    0.958    0.523    0.023    0.253    0.614    0.113    0.155      0.137    0.184    0.137
1-285062      10.50      1.37     0.214    0.935    0.809    0.365    0.077    0.191    0.636    0.095    0.137      0.110    0.330    0.059
1-47248       11.36      6.13     0.623    0.846    0.799    0.789    0.099    0.127    0.721    0.052    0.161      0.164    0.167    0.228
1-235587      10.57      2.02     0.534    0.897    0.798    0.539    0.071    0.256    0.579    0.093    0.136      0.133    0.214    0.095
1-24099       10.46      1.69     0.051    0.935    0.558    0.182    0.381    0.305    0.238    0.076    0.056      0.000    0.154    0.026
1-114928      10.84      2.51     0.025    0.869    0.511    0.331    0.037    0.614    0.315    0.035    0.063      0.041    0.141    0.068
1-211100      10.71      1.85     0.154    0.835    0.658    0.536    0.008    0.289    0.635    0.070    0.083      0.047    0.411    0.093
1-137853      11.17      4.27     0.503    0.861    0.741    0.573    0.020    0.135    0.751    0.097    0.173      0.089    0.386    0.104
1-277161      10.60      1.80     0.117    0.960    0.511    0.105    0.099    0.583    0.244    0.075    0.011      0.002    0.141    0.088
1-277539      10.95      4.74     0.492    0.819    0.724    0.691    0.091    0.135    0.724    0.051    0.210      0.119    0.278    0.118
1-38347       10.88      2.13     0.384    0.640    0.530    0.821    0.028    0.075    0.886    0.011    0.116      0.141    0.418    0.211
