catid logMstar
100083 10.8819
100105 11.0583
100119 10.0188
105418 10.6539
105419 10.1314
105420 10.3716
105519 10.3881
106255 10.656
106288 10.8066
106511 9.55594
106549 10.3368
106815 10.2396
107007 10.0972
107014 10.0431
107135 11.0852
107137 10.1945
107277 10.8287
107278 10.4025
107280 10.2978
107349 9.57591
107416 10.6631
107454 9.81811
107528 11.0357
107640 10.3405
116300 10.8389
116765 9.50255
116948 9.99824
117073 10.5556
117080 9.98872
117205 10.4179
117207 11.1649
117218 10.8315
117225 10.0046
117278 10.6527
117279 10.5088
117290 10.067
117295 10.283
117313 10.545
117326 9.91544
117360 10.1185
117403 10.0643
117446 10.1532
117476 9.96756
117484 10.5768
117540 10.041
118214 9.52242
118215 9.62284
118216 10.5597
118219 10.3339
118368 10.5839
118369 10.1695
118671 9.27583
118674 10.2823
118703 10.9921
118980 10.5268
118982 10.7875
119081 10.244
119158 10.9976
122896 9.3674
122920 10.7753
122930 9.52622
122934 9.38203
122979 9.63792
123185 9.53572
123208 10.9722
123215 10.3306
123253 11.0702
123424 9.75749
123457 10.8096
123462 10.4118
123467 10.1301
123511 9.9966
123690 9.92569
123691 10.263
123786 11.2985
123802 10.0004
123805 10.2288
123807 10.1777
123813 9.82551
123843 10.3718
123854 10.1812
123855 10.4032
123923 10.6285
123924 9.38514
124125 9.86987
124156 9.87419
124305 9.88719
124345 10.6107
124346 10.5321
124371 10.014
124372 10.5108
124375 10.9412
124377 9.75532
124378 10.0801
124380 10.3349
124408 10.5412
124410 10.0874
124416 9.81424
124418 11.3924
124419 11.0683
124420 9.93441
124425 10.7427
124426 9.79209
124429 10.3831
124430 9.80539
124433 10.8012
124434 9.78046
124435 9.83956
124437 9.77973
124440 10.0138
124441 10.118
124443 10.7357
124469 9.72945
124485 10.5298
124524 10.1674
124528 10.1126
124759 9.87607
124806 10.4495
124828 10.5509
124830 10.0121
124966 9.9763
125026 10.7878
125192 10.2423
125199 10.8049
125363 10.5715
125512 10.0985
125631 10.3576
125689 10.4085
125696 10.6737
125746 10.3758
125773 9.75964
129768 10.1378
129778 9.87671
129807 10.3522
129952 10.3911
129976 9.77039
129977 10.8138
130007 10.317
130030 11.115
130061 10.7877
130063 10.2988
130067 10.2582
130139 9.99932
130143 9.88286
130205 10.337
130207 10.7629
130213 10.9826
130214 9.70289
130216 9.90187
130223 9.62038
130226 10.4442
130259 10.5026
130260 9.93246
130262 9.99083
130264 9.85548
130439 10.2853
130574 9.80358
130811 10.5027
130845 10.5659
130906 10.1592
130963 11.2262
130971 11.0105
130981 11.1581
130983 10.1016
131042 10.1742
131043 10.4581
131124 10.2385
131130 9.94623
131415 10.5173
131420 10.7192
131421 11.1306
131876 10.3727
131877 11.0336
131878 9.96166
131936 10.9281
132142 10.5345
132145 10.072
132176 10.0431
132261 10.4255
132262 9.93045
132289 10.8748
132367 10.9429
132399 10.8032
132521 10.3476
136238 10.8109
136308 10.5231
136312 10.3141
136313 10.5014
136362 10.8951
136442 9.84247
136443 10.1023
136526 10.3254
136616 10.667
136624 10.3533
136696 9.98145
136794 9.01435
136799 9.5107
136841 10.4891
136842 10.7583
136851 10.5947
136861 9.88336
136871 9.77203
136880 9.82348
136998 10.2788
137033 10.4067
137037 11.2377
137074 10.6136
137080 11.2101
137081 9.88636
137206 10.7641
137208 10.6307
137414 10.6444
137732 9.99833
137838 11.016
137849 10.5394
137853 10.3323
138044 9.51041
138064 10.3641
138142 10.758
138191 10.4145
138291 9.22075
138346 9.77361
138569 10.5501
138662 10.257
138827 10.6573
138828 10.769
138862 9.83641
138980 10.2021
138981 9.50079
143223 10.4438
143269 10.667
143270 9.49378
143285 10.4213
143291 10.1969
143599 10.4441
143727 10.4361
143735 10.925
143747 10.4741
143778 10.5845
143786 10.1444
143818 10.3316
143841 10.2534
143889 10.2611
143918 10.0108
144012 10.8531
144122 10.6427
144171 10.2168
144245 10.1756
144278 10.7381
144330 9.99372
144333 9.94315
144335 11.0834
144336 9.96216
144337 9.71155
144339 9.78758
144340 9.74741
144342 10.2665
144343 10.3315
144365 10.6999
144498 9.91473
144537 9.808
144562 10.2107
144605 10.5184
144640 11.0359
144673 10.3827
145041 10.603
14522 10.8219
145247 10.3975
145375 10.1445
145382 10.2626
145465 9.77156
14552 10.8969
15161 9.52755
15163 9.07279
15165 11.1525
15317 9.85504
15364 10.4489
15481 11.0769
15492 9.35807
15518 10.3584
15522 10.5777
15663 10.4414
15664 10.5641
16022 10.4498
16026 10.22
16166 10.4261
16242 10.5016
16243 9.53042
163615 9.59582
163826 10.2826
16386 10.4805
163884 10.6739
163886 10.9494
163887 10.4298
163917 9.20135
16392 8.79775
163988 9.98021
164060 10.9144
164071 10.2277
164145 10.9398
164146 10.4954
164156 10.0849
164379 10.9676
164407 10.5653
164409 10.6481
164423 9.95372
164453 11.3363
164456 9.93841
164457 10.8785
164459 9.92591
164470 10.6227
164471 9.95837
164499 10.8759
164511 10.7045
164539 10.6968
164607 9.93592
164618 11.3199
164619 10.3844
164620 9.80242
164625 9.67531
164628 9.76618
164629 10.2094
164633 11.1483
164634 9.90363
164639 10.702
164640 10.6174
164677 10.7434
164686 9.77368
164688 10.0089
164760 10.7613
164761 10.88
164769 10.2902
164902 9.46291
164905 8.88679
164906 10.5857
164974 10.372
165011 11.0899
165048 9.80562
16507 10.9171
165100 10.4871
16514 10.9601
16515 8.56549
16521 9.94287
16525 10.1387
16526 10.3553
165297 10.5265
165339 9.80597
165462 10.7233
165463 9.4745
165547 10.586
165550 11.0873
165551 9.82804
165584 9.91436
165588 10.3781
165591 10.4304
16561 9.73204
16567 10.8527
165670 10.2105
165766 10.7585
165767 9.53906
165795 9.99837
165936 10.6715
166145 11.1184
166151 10.6963
166202 9.93814
166203 10.5552
166280 10.6375
170630 9.7369
170649 10.9516
170759 10.4425
170913 9.68095
17093 10.4027
171115 11.0942
171116 9.50352
171133 10.328
171136 9.9099
171139 10.5164
171140 10.321
171149 9.72388
171152 9.84914
171172 10.7086
171175 10.3696
171177 10.8061
171310 10.9508
17138 10.2096
171416 9.90357
171442 10.3569
171488 10.3998
171542 10.5433
171546 10.4314
171633 8.66018
171642 10.6801
171643 10.5666
171671 10.3861
171672 9.9243
171688 9.74985
171710 10.5525
171725 10.0228
171801 10.3254
171803 10.0159
171911 9.75081
171955 10.9537
172045 10.5031
172046 10.2731
172072 10.4502
172073 10.7082
172075 10.5065
172076 9.88228
172098 10.3776
172214 10.3937
172215 10.1543
172247 10.8127
172320 9.6764
172498 9.70644
172503 10.4102
172638 9.91067
172692 9.84445
172700 9.84353
172726 11.4069
172729 11.054
172730 10.0791
172734 10.978
172848 10.2868
172851 11.052
17294 10.4424
17312 9.95078
17355 10.4475
17368 10.4571
17385 10.2638
17390 11.077
17407 8.80647
176781 10.8275
177007 9.40768
177165 10.0488
177185 10.2829
177186 10.2273
177197 9.45597
177225 10.3559
177228 10.8516
177229 9.87504
177232 11.2431
177234 10.3605
177247 10.6996
177260 9.69078
177297 9.04194
177301 10.2782
177333 10.1655
177334 10.1731
177335 11.0512
177336 10.0146
177338 10.5812
177342 11.3424
177381 10.9018
177424 10.3919
177428 10.1626
177432 8.87431
177434 11.1837
177435 10.4544
177441 9.94045
177473 9.82626
177604 11.1888
177638 9.6914
177642 10.621
177643 10.1666
177644 10.6467
177665 10.6278
177667 10.2924
177670 10.4226
177671 10.3067
177673 10.1065
177679 9.67155
177750 10.153
177781 9.24226
177922 10.0353
177969 11.0644
178030 10.0117
178047 10.2496
178105 10.5556
178472 10.2214
178886 10.2523
178950 10.7729
178988 10.7718
179180 11.1891
179472 9.82682
179617 10.4697
183881 10.906
184010 10.3717
184041 9.36569
184042 11.4325
184043 9.95976
184044 10.4542
184045 9.97
184046 10.9602
