cataid	logmstar
6802	9.0489
6806	10.9917
6808	10.7885
6810	11.1282
6813	11.0407
6816	9.21515
6820	10.9589
6826	9.89243
6830	9.53178
6835	10.4307
6837	9.4771
6838	9.01685
6839	9.89096
6840	10.8188
6842	9.31701
6844	10.6494
6845	10.9094
6846	9.85217
6853	10.3246
6854	10.7637
6855	10.7292
6856	10.661
6858	10.5258
6859	10.0235
6860	10.3183
6861	9.76473
6878	11.2495
6879	10.5324
6880	10.4196
6881	10.8965
6882	10.9018
6884	10.7288
6885	10.8426
6886	10.0401
6889	11.4291
6891	10.8248
6892	9.9886
6895	10.8565
6900	10.3669
6901	9.47593
6903	9.46369
6906	10.6573
6908	10.535
6909	11.4044
6915	10.8997
6916	9.84369
6922	11.3738
6926	9.5324
6929	9.48513
6930	10.0165
6933	10.9827
6934	11.3282
6935	11.4581
6936	11.6983
6942	11.2501
6943	10.6375
6949	10.2736
6955	10.5531
6956	10.0536
6957	10.0662
6964	9.89612
6965	10.1016
6967	9.69616
6968	10.2935
6969	10.7396
6971	10.7133
6973	11.2094
6974	10.6097
6975	9.92589
6977	11.0636
6979	10.7236
6983	11.0156
6988	10.7782
6998	10.5822
7000	9.97
7001	10.1132
7002	9.47253
7003	10.1995
7004	10.1387
7005	10.3717
7007	11.0554
7008	9.67986
7010	9.47195
7011	10.612
7012	10.7887
7014	10.207
7015	10.4779
7017	10.607
7019	10.7248
7024	11.0304
7025	10.9711
7026	11.2768
7029	10.9926
7030	11.0219
7032	10.5195
7039	10.7399
7040	9.9776
7043	11.6379
7045	11.2966
7048	10.6054
7049	11.2414
7052	11.0774
7054	11.3158
7055	10.2238
7060	9.35302
7063	10.7872
7069	10.0609
7070	10.1643
7076	11.2826
7077	10.9247
7079	11.1453
7080	11.5252
7083	11.419
7084	10.9482
7086	11.3282
7088	11.0457
7092	11.1072
7096	10.6927
7097	11.1543
7100	9.18486
7102	11.553
7103	9.80155
7104	10.1408
7105	10.589
7107	10.0141
7109	11.074
7112	11.0965
7115	10.7022
7116	11.0767
7117	10.9802
7118	10.9233
7119	11.2059
7123	11.4241
7130	9.88277
7135	10.129
7136	10.9642
7137	10.0634
7138	10.186
7139	10.5981
7140	10.774
7147	10.6142
7149	11.0756
7157	10.9333
7162	9.71258
7163	10.5486
7166	10.7917
7167	9.44336
7176	10.187
7177	9.72633
7179	9.96718
7182	10.4988
7188	10.5585
7192	11.0951
7193	11.0639
7194	10.9533
7198	10.922
7203	10.3914
7205	9.68755
7206	10.5225
7209	10.8837
7210	10.6929
7211	10.795
7214	10.8889
7216	11.6727
7234	10.6935
7235	10.9484
7237	10.8131
7238	11.2124
7239	10.9602
7241	10.4115
7246	9.16094
7248	10.8911
7254	9.83544
7255	10.2264
7259	10.5145
7260	10.736
7264	10.7335
7266	9.98781
7268	10.7314
7269	10.6028
7270	9.93566
7271	10.4753
7281	10.5054
7286	10.3811
7287	10.3529
7288	11.1167
7289	11.1478
7290	10.6041
7291	10.5843
7292	10.3271
7293	9.79363
7294	10.1497
7295	10.7661
7302	9.44994
7307	10.8832
7311	9.87457
7312	10.4535
7313	10.8246
7314	10.7446
7315	10.528
7318	10.6183
7321	10.2624
7326	11.0066
7329	10.9066
7331	11.2424
7333	10.6727
7336	10.8828
7338	11.1864
7339	10.4479
7340	10.2076
7344	11.0243
7346	9.90753
7347	11.3737
7355	10.0793
7358	10.1568
7365	10.9514
7366	10.7772
7368	9.79622
7369	11.4163
7370	10.6532
7371	9.99788
7372	10.2574
7375	10.1191
7376	10.2658
7377	10.6299
7379	10.9089
7380	11.3976
7381	11.4042
7382	10.4829
7383	10.1332
7384	10.7919
7385	10.2516
7386	10.0517
7387	10.8914
7389	10.6547
7398	10.9077
7403	10.6218
7404	10.3394
7405	11.4566
7406	10.4621
7407	10.68
7409	10.3675
7410	11.0628
7416	10.9308
7422	10.4886
7428	10.6896
7434	9.47343
7435	10.7888
7436	10.2213
7438	10.8088
7453	10.709
7454	10.715
7456	10.6529
7457	11.0023
7460	10.6704
7461	10.1004
7466	11.1747
7468	11.2332
7472	10.0027
7473	9.89084
7475	10.216
7476	9.76326
7480	10.6496
7482	10.8579
7483	9.68977
7484	11.3917
7487	9.24393
7489	11.0617
7490	10.62
7492	10.2639
7493	10.8466
7496	10.7174
7500	10.1427
7504	9.85151
7509	9.98667
7510	10.6697
7511	9.03044
7512	11.0591
7513	10.7857
7514	10.003
7517	11.29
7518	9.15627
7521	10.9357
7522	10.6952
7524	10.1798
7529	11.1626
7533	10.9094
7541	10.4003
7553	10.697
7554	10.7838
7562	11.008
7563	11.3891
7565	10.7445
7567	10.2506
7568	10.7314
7569	10.9563
7570	10.3241
7572	10.6263
7573	11.3321
7577	10.7705
7590	10.6439
7591	10.6484
7592	8.76935
7593	10.9205
7594	10.2291
7595	11.3779
7596	10.8333
7598	10.7531
7599	10.9249
7601	10.371
7606	10.8811
7609	10.8405
7611	10.7219
7618	10.3757
7619	10.908
7622	10.9997
7623	9.6904
7624	10.8521
7630	11.1742
7634	10.6553
7636	10.7946
7639	9.75982
7641	10.1637
7642	11.3303
7643	10.5377
7644	10.9386
7645	11.0895
7647	10.2725
7649	9.8213
7651	10.3482
7653	10.2545
7656	11.2164
7657	11.0048
7659	10.146
7663	10.6202
7666	9.97791
7670	10.4146
7675	10.9968
7678	10.8828
7682	10.9081
7683	10.7621
7684	9.62396
7685	10.72
7687	11.5422
7688	8.83506
7689	10.8139
7690	10.5467
7691	10.8505
7703	10.9036
7709	10.7523
7711	9.25839
7712	10.9413
7714	10.9848
7715	10.8971
7720	10.919
7721	11.0085
7722	11.0752
7735	9.54223
7740	10.1392
7742	10.2075
7743	10.67
7745	9.67725
7746	10.5595
7747	9.96991
7749	9.72366
7752	10.2523
7753	9.97925
7755	10.71
7756	9.63054
7757	11.238
7758	11.1264
7759	11.1015
7761	10.7669
7765	10.2576
7767	10.7477
7776	10.2833
7777	11.2091
7782	10.4987
7783	10.6877
7784	10.5593
7787	11.0146
7791	10.3409
7793	10.6196
7795	9.93888
7796	8.6528
7797	9.74396
7798	10.9995
7802	9.12606
7803	10.1049
7804	9.89034
7805	9.73982
7809	10.3105
7811	10.8035
7815	11.275
7816	10.6211
7817	9.52095
7824	10.5425
7826	11.1775
7831	11.0846
7839	11.0764
7840	10.7757
7841	10.7903
7846	10.5669
7847	10.9812
7848	8.59968
7849	10.6163
7850	9.6725
7852	9.16671
7854	11.2827
7856	10.0074
7857	10.4572
7858	11.0017
7859	10.7708
7862	9.16103
7864	10.1797
7865	11.2879
7866	9.957
7867	10.7243
7868	10.7625
7869	10.3453
7870	10.8379
7871	10.6953
7874	9.80978
7875	11.2232
7880	11.0215
7881	10.9894
7882	10.7394
7883	11.3731
7886	11.0958
7888	11.3818
7889	10.6664
7890	10.3153
7892	10.5627
7893	10.7812
7895	10.9367
7897	10.586
7903	10.8066
7906	11.2406
7907	11.0119
7908	10.7397
7911	10.5436
7912	11.0237
7913	10.4384
7914	9.95229
7915	10.4259
7916	10.929
7918	10.434
7921	10.0674
7929	10.2246
7933	9.8327
7942	10.327
7943	11.0336
7944	10.5852
7945	9.52159
7946	10.9564
7947	10.8541
7948	9.91148
7949	10.2235
7952	10.8397
7953	10.2363
7960	10.9183
7961	10.1531
7967	10.1457
7968	10.0977
7969	11.095
7970	9.83032
7971	10.2455
7972	10.4098
7973	10.6537
7974	10.6815
7975	10.6788
7976	11.2445
7979	10.9703
7980	9.96255
7982	10.8625
7985	10.507
7990	10.4915
7992	10.9341
7996	9.92357
7997	10.6103
7998	10.751
7999	10.8529
8003	9.47782
8004	9.3638
8005	10.3906
8007	10.5055
8008	9.96062
8009	10.6811
8010	10.9266
8011	10.4732
8012	10.4192
8014	10.6589
8016	10.7273
8018	10.4498
8019	9.39733
8033	10.2195
8036	9.1975
8037	10.3176
8038	10.9944
8039	10.7519
8041	10.5505
8043	11.4162
8045	10.081
8046	10.8385
8047	9.72773
8048	10.6752
8050	11.3441
8051	10.3761
8052	10.3038
8053	10.3881
8057	10.4352
8075	10.8477
8076	11.0142
8077	9.90393
8078	10.808
8079	10.6322
8083	10.6472
8084	10.8387
8087	10.753
8088	10.284
8090	10.3429
8091	10.8936
8093	10.8569
8096	10.8349
8097	10.9331
8098	10.4957
8102	10.95
8107	10.6992
8108	9.93151
8114	10.8572
8118	10.636
8122	11.1915
8123	11.1477
8124	11.0302
8125	11.3799
8127	11.2834
8128	10.6493
8129	10.5417
8130	10.7936
8131	10.732
8132	10.0254
8134	10.8993
8135	10.8282
8136	11.3051
8138	10.271
8141	10.6445
8143	10.9468
8144	10.7936
8145	10.2173
8147	10.6621
8156	9.5178
8159	10.5609
8161	10.603
8163	10.7265
8164	9.49877
8165	9.85606
8166	10.7154
8168	10.724
