Galaxy,MBH,MBHu,MBHl,Mstar
M87,3e9,1.0e9,1.0e9,6.0e11
NGC1068,1.4e7,1.3e7,0.7e7,2.3e10
NGC3379,1.0e8,0.6e8,0.5e8,6.8e10
NGC4374,4.3e8,3.2e8,1.7e8,3.6e11
NGC4261,5.2e8,1.0e8,1.1e8,3.6e11
NGC6251,5.3e8,2.0e8,4.0e8,5.6e11
NGC7052,3.3e8,2.3e8,1.3e8,2.9e11
NGC4742,1.4e7,0.4e7,0.5e7,6.2e9
NGC821,3.7e7,1.7e7,1.5e7,1.3e11
IC1459,2.5e9,0.5e9,0.4e9,2.9e11
M31,4.5e7,4.0e7,2.5e7,3.7e10
M32,2.5e6,0.5e6,0.5e6,8.0e8
NGC1023,4.4e7,0.5e7,0.5e7,6.9e10
NGC2778,1.4e7,1.67e7,0.8e7,7.6e10
NGC3115,1.0e9,1.0e9,0.6e9,1.2e11
NGC3245,2.1e8,1.0e8,0.6e8,6.8e10
NGC3377,1.0e8,0.9e8,0.1e8,1.6e10
NGC3384,1.6e7,0.1e7,0.2e7,2.0e10
NGC3608,1.9e8,1.0e8,0.6e8,9.7e10
NGC4291,3.1e8,1.3e8,1.1e8,1.3e11
NGC4342,3.0e8,1.7e8,1.0e8,1.2e10
NGC4473,1.1e8,0.4e8,1.0e8,9.2e10
NGC4564,5.6e7,0.3e7,0.7e7,4.4e10
NGC4594,1.0e9,1.0e9,0.7e9,2.7e11
NGC4649,2.0e9,0.5e9,1.0e9,4.9e11
NGC4697,1.7e8,0.2e8,0.1e8,1.1e11
NGC5845,2.4e8,0.4e8,1.4e8,3.7e10
NGC7332,1.3e7,0.6e7,0.5e7,1.5e10
NGC7457,3.5e6,1.1e6,1.4e6,7.0e9
MW,3.7e6,1.5e6,1.5e6,1.1e10
