ID,logLum,logML,MLu,MLd,logMbh,Mbhu,Mbhd
'M31',9.860,0.684,0.010,0.011,7.792,0.016,0.011
'M32',8.572,0.335,0.012,0.010,6.376,0.035,0.033
'NGC 821',10.188,0.917,0.009,0.010,8.298,0.100,0.103
'NGC 1399',10.616,0.889,0.022,0.021,9.718,0.065,0.068
'NGC 1600',11.012,1.081,0.014,0.014,10.059,0.044,0.056
'NGC 2300',10.660,0.943,0.014,0.015,9.454,0.038,0.054
'NGC 2778',10.064,0.650,0.013,0.016,7.849,NaN,NaN
'NGC 2832',11.112,0.881,0.018,0.019,10.058,0.076,0.072
'NGC 3115',10.232,0.905,0.005,0.005,8.608,0.020,0.024
'NGC 3377',9.812,0.453,0.010,0.011,7.786,0.049,0.041
'NGC 3379',10.152,0.725,0.006,0.008,8.594,0.032,0.048
'NGC 3608',10.268,0.771,0.009,0.008,8.392,0.091,0.091
'NGC 4168',10.636,0.770,0.030,0.030,9.077,0.151,0.253
'NGC 4278',10.396,0.759,0.007,0.007,9.166,0.031,0.021
'NGC 4291',10.272,0.798,0.018,0.019,9.271,0.060,0.079
'NGC 4467',8.748,0.764,0.045,0.051,7.442,NaN,NaN
'NGC 4472',10.960,0.955,0.010,0.011,9.417,0.055,0.074
'NGC 4473',10.252,0.710,0.025,0.026,8.533,0.301,0.923
'NGC 4486',10.884,1.034,0.009,0.010,9.558,0.027,0.029
'NGC 4486b',8.960,0.557,0.048,0.056,8.963,0.055,0.033
'NGC 4552',10.352,0.830,0.005,0.005,8.668,0.051,0.074
'NGC 4564',9.908,0.723,0.017,0.017,8.404,0.097,0.132
'NGC 4594',10.644,0.813,0.003,0.003,8.811,0.005,0.013
'NGC 4621',10.440,0.844,0.007,0.006,8.445,0.061,0.083
'NGC 4636',10.600,0.908,0.014,0.016,8.356,0.267,0.566
'NGC 4649',10.788,0.937,0.006,0.004,9.592,0.016,0.018
'NGC 4660',9.476,0.657,0.017,0.015,8.446,0.090,0.115
'NGC 4874',11.384,0.966,0.028,0.028,10.319,0.071,0.097
'NGC 4889',11.276,0.808,0.038,0.042,10.429,0.079,0.119
'NGC 6166',11.320,0.884,0.020,0.018,10.467,0.025,0.035
'NGC 7332',9.896,0.327,0.006,0.006,6.845,NaN,NaN
'NGC 7768',11.104,0.842,0.021,0.020,9.933,0.060,0.081
