Galaxy Re logMass fDM fDM_err
720 3.80 11.27 0.36 0.20
821 4.90 11.00 0.81 0.05
1023 2.58 10.99 0.47 0.12
1400 3.33 11.08 0.54 0.21
1407 12.14 11.60 0.82 0.04
2768 6.37 11.21 0.78 0.05
2974 3.06 10.93 0.08 0.45
3115 1.66 10.93 0.64 0.08
3377 2.40 10.50 0.62 0.09
3607 5.19 11.39 0.16 0.44
3608 4.64 11.03 0.77 0.19
4278 2.14 10.95 0.72 0.07
4365 8.71 11.51 0.83 0.03
4374 12.45 11.51 0.89 0.04
4459 3.75 10.98 0.62 0.32
4473 2.23 10.96 0.51 0.15
4474 1.50 10.23 0.71 0.42
4486 7.01 11.62 0.86 0.03
4494 4.23 11.02 0.4 0.14
4526 2.58 11.26 0.43 0.18
4564 1.14 10.58 0.59 0.22
4649 6.34 11.60 0.74 0.05
4697 5.81 11.15 0.7 0.07
5846 10.54 11.46 0.87 0.03
5866 1.69 10.83 0.34 0.45
7457 2.13 10.13 0.88 0.04
1316 8.57 11.55 0.81 0.04
1399 15.83 11.50 0.94 0.01
4472 15.74 11.78 0.85 0.04
4594 3.41 11.41 0.58 0.08
4636 12.71 11.17 0.88 0.02
5128 2.21 10.94 0.53 0.09
