CATID BHMASS BHMASS_L BHMASS_U SIGMA
MW 0.026 0.024 0.028 75
M31 0.350 0.100 0.600 160
M32 0.037 0.024 0.044 75
NGC821 0.50 0.3 0.7 209
NGC1023 0.39 0.28 0.48 205
NGC2778 0.2 0.07 0.36 175
NGC3377 1.0 0.6 2.5 145
NGC3379 1.0 0.5 1.6 206
NGC3384 0.18 0.09 0.25 143
NGC3608 1.1 0.8 2.5 182
NGC4291 1.5 0.8 4.5 242
NGC4342 3.0 2.0 4.7 225
NGC4473 1.0 0.4 1.8 190
NGC4564 0.57 0.40 0.70 162
NGC4649 20 10 25 375
NGC4697 1.2 0.8 1.3 177
NGC5845 3.2 2.5 5.0 234
NGC7457 0.034 0.017 0.060 67
M87 25 18 32 375
NGC4261 5.4 4.3 6.3 315
NGC4374 18 9.0 28 296
NGC6251 6.0 2.0 8.0 290
NGC7052 3.3 2.0 5.6 266
IC1459 3.5 1.4 4.8 323
NGC1068 0.17 0.10 0.30 151
NGC4258 0.42 0.40 0.44 323
