ID,logMbh
'3C 120 (Mrk 1506)',7.362 
'3C 390.3 (VII w 838)',8.531 
'Ark 120 (Mrk 1095)',8.265 
'Arp 102B',8.342 
'Circinus',6.114 
'Fairall 9',7.903
'IC 342',5.699
'IC 1459',8.568
'IC 4329A',6.699
'Milky Way',6.470
'Mrk 79  (UGC 3973)',7.716
'Mrk 110',6.748
'Mrk 279 (UGC 8823)',7.623
'Mrk 335',6.799
'Mrk 509',7.762
'Mrk 590 (NGC 863)',7.250
'Mrk 817 (UGC 9412)',7.643
'M32',6.591
'M31',7.519
'NGC 821',7.699
'NGC 1023',7.591 
'NGC 1068',7.204
'NGC 2778',7.301
'NGC 2787',7.591
'NGC 3031',7.799
'NGC 3115',8.959
'NGC 3227',7.591
'NGC 3245',8.322
'NGC 3377 ',8.000
'NGC 3379',8.000 
'NGC 3384',7.255
'NGC 3516',7.362
'NGC 3608',8.041
'NGC 3783',6.973
'NGC 3998',8.748 
'NGC 4051',6.114
'NGC 4151',7.185
'NGC 4203',7.079
'NGC 4258',7.613 
'NGC 4261',8.716
'NGC 4291',8.176
'NGC 4342',8.531
'NGC 4374',9.204
'NGC 4459',7.813
'NGC 4473,8.000
'NGC 4486',9.531
'NGC 4486B',8.778
'NGC 4564',7.756
'NGC 4593',6.908
'NGC 4594',9.041
'NGC 4596',7.763
'NGC 4649',9.301
'NGC 4697',8.079
'NGC 5548',8.089
'NGC 5845',8.505
'NGC 6251',8.732
'NGC 7052',8.556
'NGC 7457',6.531
'NGC 7469',6.813
'PG 0026+129',7.732
'PG 0052+251',8.342
'PG 0804+761',8.276
'PG 0844+349',7.334
'PG 0953+414',8.265
'PG 1211+143',7.607
'PG 1226+023',8.740
'PG 1229+204',7.875
'PG 1307+085',8.447
'PG 1351+640',7.663
'PG 1411+442',7.903
'PG 1426+015',8.672
'PG 1613+658',8.382
'PG 1617+175',8.436
'PG 1700+518',7.778
'PG 1704+608',7.568
'PG 2130+099',8.158
