Number,Galaxy,Band,M/L,Type,n_maj,Re_maj,mue_maj,logIe_maj,n_eq,Re_eq,mue_eq,logIe_eq,C,scale,logM*_sph,Dist,logMbh,Ref
1,IC 1459a,3.6 μm,"(0.6, 3.26)",E,6.60,63.10,18.49,2.32,7.00,57.30,18.59,2.28,0.60,0.1366,11.55+/-0.12,28.4,9.38+/-0.20,SG16
2,NGC 0821,3.6 μm,"(0.6, 3.26)",E,5.30,36.50,18.40,2.36,6.10,18.90,17.83,2.58,0.62,0.1127,10.69+/-0.33,23.4,7.59+/-0.17,SG16
3,NGC 1023,3.6 μm,"(0.6, 3.26)",SB0,2.10,9.20,14.96,3.73,2.00,7.40,14.79,3.80,0.32,0.0536,10.21+/-0.12,11.1,7.62+/-0.05,SG16
4,NGC 1316,3.6 μm,"(0.6, 3.26)",SAB0*,2.00,21.50,15.55,3.50,1.80,15.90,15.43,3.54,0.30,0.0897,11.05+/-0.26,18.6,8.18+/-0.26,SG16
5,NGC 1332,3.6 μm,"(0.6, 3.26)",ES,5.10,34.70,17.44,2.74,3.70,18.00,16.47,3.13,0.35,0.1074,11.05+/-0.33,22.3,9.16+/-0.07,SG16
6,NGC 1399a,3.6 μm,"(0.6, 3.26)",E,10.00,405.10,21.80,1.00,10.00,338.10,21.53,1.10,0.63,0.0935,11.66+/-0.12,19.4,8.67+/-0.06,SG16
7,NGC 2549,3.6 μm,"(0.6, 3.26)",SB0,2.30,6.10,15.57,3.49,1.50,3.10,14.54,3.90,0.24,0.0594,9.59+/-0.12,12.3,7.15+/-0.6,SG16
8,NGC 2778,3.6 μm,"(0.6, 3.26)",SAB0,1.30,2.30,15.61,3.47,1.20,2.20,15.46,3.53,0.24,0.1074,9.41+/-0.26,22.3,7.18+/-0.34,SG16
9,NGC 3091a,3.6 μm,"(0.6, 3.26)",E,7.60,100.50,20.43,1.55,6.60,51.20,19.47,1.94,0.49,0.2447,11.61+/-0.12,51.2,9.56+/-0.04,SG16
10,NGC 3115,3.6 μm,"(0.6, 3.26)",S0,4.40,43.60,16.67,3.04,5.10,34.40,16.85,2.97,0.58,0.0455,10.77+/-0.12,9.4,8.94+/-0.25,SG16
11,NGC 3245,3.6 μm,"(0.6, 3.26)",SAB0,2.90,4.40,14.96,3.73,1.70,2.40,14.00,4.12,0.24,0.0979,10.06+/-0.12,20.3,8.30+/-0.12,SG16
12,NGC 3377,3.6 μm,"(0.6, 3.26)",E,7.70,61.80,19.16,2.05,9.20,91.70,20.33,1.58,0.73,0.0527,10.48+/-0.26,10.9,7.89+/-0.04,SG16
13,NGC 3379a,3.6 μm,"(0.6, 3.26)",E,5.20,57.20,17.93,2.54,5.30,50.90,17.84,2.58,0.53,0.0498,10.8+/-0.26,10.3,8.60+/-0.12,SG16
14,NGC 3384,3.6 μm,"(0.6, 3.26)",SAB0,1.60,5.50,14.21,4.03,1.80,5.60,14.56,3.89,0.32,0.0546,10.06+/-0.12,11.3,7.23+/-0.05,SG16
15,NGC 3414,3.6 μm,"(0.6, 3.26)",E,4.80,28.00,18.10,2.48,4.50,25.50,18.08,2.48,0.46,0.118,10.83+/-0.12,24.5,8.38+/-0.06,SG16
16,NGC 3489,3.6 μm,"(0.6, 3.26)",SB0,1.50,2.20,13.47,4.33,1.30,1.70,13.25,4.41,0.25,0.0565,9.54+/-0.26,11.7,6.76+/-0.07,SG16
17,NGC 3585,3.6 μm,"(0.6, 3.26)",E,5.20,105.00,19.13,2.06,6.30,86.30,19.24,2.02,0.65,0.094,11.3+/-0.26,19.5,8.49+/-0.13,SG16
18,NGC 3607,3.6 μm,"(0.6, 3.26)",E,5.50,69.30,19.00,2.12,5.60,65.50,19.01,2.11,0.54,0.107,11.23+/-0.26,22.2,8.11+/-0.18,SG16
19,NGC 3608a,3.6 μm,"(0.6, 3.26)",E,5.20,47.50,18.93,2.14,5.70,43.40,19.00,2.12,0.58,0.1074,10.89+/-0.26,22.3,8.30+/-0.18,SG16
20,NGC 3842a,3.6 μm,"(0.6, 3.26)",E,8.10,100.70,21.43,1.16,8.20,73.60,21.07,1.31,0.61,0.4643,11.92+/-0.12,98.4,9.99+/-0.13,SG16
21,NGC 3998,3.6 μm,"(0.6, 3.26)",SAB0,1.20,5.80,15.15,3.65,1.30,4.80,14.63,3.86,0.26,0.0662,10.02+/-0.33,13.7,8.91+/-0.11,SG16
22,NGC 4261a,3.6 μm,"(0.6, 3.26)",E,4.70,52.60,18.58,2.29,4.30,47.30,18.53,2.31,0.45,0.1481,11.38+/-0.26,30.8,8.70+/-0.09,SG16
