catid,logMstar,z
2.99509E+17,10.79275362,0.06211357
2.99516E+17,11.64758068,0.2038819
2.99519E+17,11.47042542,0.1304814
2.9952E+17,11.64057395,0.1302733
2.99522E+17,11.5465334,0.1210181
2.99523E+17,11.69383028,0.2046449
2.99532E+17,11.70735764,0.06250914
2.99534E+17,10.60380219,0.0631806
2.99536E+17,10.64455633,0.03674017
2.99552E+17,11.24787683,0.1640238
2.99559E+17,11.57914396,0.2184621
2.99567E+17,11.49601274,0.1415308
2.99588E+17,10.59211844,0.09018394
2.99591E+17,11.55660022,0.1973957
2.99602E+17,10.35148652,0.03638333
2.99604E+17,10.43996097,0.03797853
2.99607E+17,10.90478962,0.1223441
2.99612E+17,11.69805694,0.2418186
2.99613E+17,11.39430614,0.1231523
2.99616E+17,11.26993272,0.03615803
2.99617E+17,10.51773386,0.03037806
2.99621E+17,11.55584874,0.2024813
2.99623E+17,11.73649648,0.2184864
2.99625E+17,11.5161934,0.2009602
2.99627E+17,10.72858781,0.05732279
2.99639E+17,11.22330991,0.1799515
2.99646E+17,10.88836496,0.0629076
2.99656E+17,11.6726003,0.2193757
2.99657E+17,11.76397633,0.143088
2.99658E+17,11.67737962,0.06201774
2.9966E+17,10.98973194,0.06337427
3.00621E+17,11.83752285,0.087761
3.00625E+17,11.71334582,0.1391702
3.0064E+17,10.82336486,0.08325355
3.00642E+17,11.46122875,0.08978136
3.00646E+17,11.77515077,0.08395238
3.00658E+17,11.65675041,0.2135797
3.00659E+17,11.89103268,0.1642064
3.00663E+17,11.36441616,0.1462476
3.00672E+17,11.92378984,0.2714575
3.00683E+17,10.71295584,0.09133507
3.00689E+17,11.22318973,0.2152341
3.00694E+17,11.47539955,0.230787
3.00699E+17,11.48030365,0.08420008
3.00702E+17,11.41484807,0.1319903
3.00707E+17,11.64453565,0.2178045
3.00707E+17,11.6367331,0.2251949
3.00725E+17,11.44011182,0.2205509
3.00733E+17,11.24516606,0.1630008
3.00735E+17,11.29089901,0.08539967
3.00738E+17,10.52795119,0.02054176
3.00741E+17,11.45357052,0.1423475
3.00751E+17,11.40383356,0.0779044
3.00752E+17,11.84021732,0.2550336
3.00756E+17,11.6657592,0.07970483
3.00778E+17,11.6630543,0.1261049
3.0078E+17,11.4777465,0.2138558
3.00781E+17,11.54946398,0.1101994
3.00783E+17,11.2249475,0.04760075
3.00791E+17,11.57461972,0.0877696
3.01743E+17,11.40201227,0.07604031
3.01745E+17,11.67243368,0.1693277
3.01752E+17,10.82131231,0.03283051
3.01752E+17,10.5232553,0.06221536
3.01757E+17,11.25286469,0.1667408
3.01758E+17,11.58638836,0.09008988
3.0176E+17,11.37051801,0.04526348
3.01763E+17,11.50360799,0.1853262
3.01766E+17,11.43886165,0.1048315
3.01766E+17,11.56733198,0.06139873
3.01767E+17,11.26702266,0.08543276
3.01784E+17,11.26921274,0.06249987
3.01785E+17,12.07834152,0.3058119
3.01785E+17,10.69389037,0.0464684
3.01787E+17,11.80089717,0.2218805
3.01788E+17,11.25473637,0.1680779
3.01789E+17,11.58513696,0.1670379
3.01792E+17,11.33770064,0.163661
3.01793E+17,11.80127078,0.1697427
3.01795E+17,11.34525802,0.1376319
3.01796E+17,11.50823746,0.1705594
3.018E+17,11.25171121,0.1678794
3.01802E+17,11.5114474,0.0876554
3.01805E+17,11.40411588,0.08852571
3.01816E+17,11.67798717,0.1254437
3.01825E+17,11.12699233,0.06491762
3.01835E+17,11.49421317,0.08773474
3.01849E+17,11.56911038,0.0650453
3.0185E+17,10.83357735,0.04720632
3.01856E+17,11.44018937,0.08670224
3.01865E+17,11.49740167,0.09729816
3.01867E+17,11.73403948,0.2185445
3.01877E+17,11.05385157,0.05647835
3.01882E+17,11.49789989,0.171811
3.01892E+17,10.91125797,0.03252227
3.01893E+17,11.49232627,0.1916706
3.01895E+17,11.78416764,0.2207649
3.01896E+17,11.53360817,0.1239753
3.01897E+17,11.88856604,0.2193648
3.01902E+17,11.5761372,0.1710902
3.01912E+17,11.45029918,0.2151756
3.02873E+17,11.1043784,0.04619696
3.02875E+17,11.78795453,0.2211389
3.02881E+17,11.67118206,0.2056542
3.02888E+17,11.83159625,0.1891803
3.02898E+17,10.08124619,0.06805611
3.02906E+17,11.7281274,0.1887828
3.02912E+17,11.34064693,0.2011801
3.02913E+17,11.37977065,0.09592089
3.02914E+17,11.82741475,0.1764013
3.02914E+17,11.73465181,0.1960584
3.02915E+17,10.76631222,0.06680077
3.02917E+17,11.30534601,0.0846162
3.0293E+17,11.37370758,0.09456869
3.02931E+17,11.44197695,0.06733828
3.02933E+17,11.00848227,0.06607493
3.02936E+17,11.54990261,0.136878
3.02937E+17,11.82163104,0.1363515
3.02962E+17,10.6310701,0.0441659
3.02969E+17,11.40564482,0.1722459
3.0297E+17,11.54406035,0.09318301
3.02976E+17,10.93376127,0.0452228
3.02976E+17,11.35667697,0.04510714
3.02977E+17,10.74270179,0.06590267
3.0298E+17,11.22252882,0.09172951
3.02982E+17,11.47085979,0.2057777
3.02983E+17,11.69476536,0.2151511
3.02986E+17,11.12301502,0.08824154
3.02994E+17,10.68758612,0.04550453
3.02995E+17,10.70462426,0.04711639
3.02996E+17,11.31168928,0.04662735
3.02999E+17,9.998106971,0.02165324
3.02999E+17,11.78965392,0.2760926
3.03003E+17,11.92107222,0.2141092
3.03004E+17,11.58646775,0.06262391
3.03012E+17,11.59571081,0.1766437
3.0303E+17,11.23074716,0.06232631
3.03039E+17,11.57697092,0.09557639
3.03039E+17,11.42084737,0.0933622
3.03039E+17,10.92669738,0.0333937
3.03994E+17,11.49527918,0.04812082
